area_code,year,permissions_granted
E09000030,2006,1800
E09000030,2007,2100
E09000030,2008,1950
E09000030,2009,1400
E09000030,2010,1200
E09000030,2011,1350
E09000030,2012,1500
E09000030,2013,1700
E09000030,2014,2000
E09000030,2015,2400
E09000030,2016,2800
E09000030,2017,3100
E09000030,2018,3000
E09000030,2019,2900
E09000030,2020,2200
E09000030,2021,2500
E09000030,2022,2600
E09000030,2023,2400
E09000030,2024,2300
E07000240,2006,600
E07000240,2007,650
E07000240,2008,580
E07000240,2009,420
E07000240,2010,380
E07000240,2011,410
E07000240,2012,450
E07000240,2013,500
E07000240,2014,560
E07000240,2015,620
E07000240,2016,700
E07000240,2017,760
E07000240,2018,740
E07000240,2019,720
E07000240,2020,580
E07000240,2021,640
E07000240,2022,660
E07000240,2023,630
E07000240,2024,600
E08000035,2006,1200
E08000035,2007,1350
E08000035,2008,1100
E08000035,2009,800
E08000035,2010,720
E08000035,2011,780
E08000035,2012,850
E08000035,2013,950
E08000035,2014,1050
E08000035,2015,1200
E08000035,2016,1350
E08000035,2017,1500
E08000035,2018,1480
E08000035,2019,1420
E08000035,2020,1100
E08000035,2021,1200
E08000035,2022,1250
E08000035,2023,1180
E08000035,2024,1130
E06000043,2006,900
E06000043,2007,980
E06000043,2008,840
E06000043,2009,620
E06000043,2010,560
E06000043,2011,590
E06000043,2012,640
E06000043,2013,700
E06000043,2014,780
E06000043,2015,880
E06000043,2016,960
E06000043,2017,1050
E06000043,2018,1020
E06000043,2019,990
E06000043,2020,780
E06000043,2021,850
E06000043,2022,880
E06000043,2023,840
E06000043,2024,800
E07000117,2006,180
E07000117,2007,200
E07000117,2008,170
E07000117,2009,120
E07000117,2010,110
E07000117,2011,120
E07000117,2012,130
E07000117,2013,145
E07000117,2014,160
E07000117,2015,180
E07000117,2016,200
E07000117,2017,215
E07000117,2018,210
E07000117,2019,205
E07000117,2020,160
E07000117,2021,175
E07000117,2022,180
E07000117,2023,170
E07000117,2024,165
